slug	file_count	files
references	10	docs/adr/0002-retention-decomposition.md,docs/adr/0010-agent-slice-design.md,docs/adr/0011-scaling-cli-scaffold.md,docs/adr/0012-watchdog-escalation-and-status.md,docs/adr/0013-ui-schema-versioning.md,docs/agents/agent_frameworks_101.md,docs/agents/hands_on_pairing_tracks.md,docs/deep_dives/deep_dive_perf_cache_memory_voice.md,docs/fault_diagnostics_runbook.md,docs/roadmaps/monitoring_roadmap.md
open-questions	7	docs/ops/scale_out_systemd.md,docs/ops/systemd_inventory_governance.md,docs/ops/watchdog_recommendations.md,docs/roadmaps/Node-RED_roadmap.md,docs/roadmaps/micro_agent_roadmap.md,docs/roadmaps/template_roadmap.md,docs/standards/clean_log_retention.md
purpose	7	docs/agents/ledger.md,docs/metrics/watchdog_metrics.md,docs/standards/clean_log_retention.md,docs/standards/dashboard_instrumentation_standards.md,docs/standards/trend_aggregation_standards.md,docs/standards/trend_pipeline.md,docs/systemd/scale_out_systemd.md
context	5	docs/adr/0002-retention-decomposition.md,docs/adr/0010-agent-slice-design.md,docs/adr/0011-scaling-cli-scaffold.md,docs/adr/0012-watchdog-escalation-and-status.md,docs/adr/0013-ui-schema-versioning.md
decision	5	docs/adr/0002-retention-decomposition.md,docs/adr/0010-agent-slice-design.md,docs/adr/0011-scaling-cli-scaffold.md,docs/adr/0012-watchdog-escalation-and-status.md,docs/adr/0013-ui-schema-versioning.md
intent	5	docs/events/lifecycle_events.md,docs/extending/warmers.md,docs/operations/flag_matrix_reference.md,docs/operations/preflight_checks.md,docs/operations/restart_policy.md
rationale	5	docs/adr/0010-agent-slice-design.md,docs/adr/0011-scaling-cli-scaffold.md,docs/adr/0012-watchdog-escalation-and-status.md,docs/adr/0013-ui-schema-versioning.md,docs/metrics_storage_path_update.md
see-also	5	docs/api/orchestrator_overview.md,docs/standards/repo_standards_http.md,docs/voice_conversation_mode.md,docs/voice_intent_router.md,docs/voice_orchestrator_quickstart.md
alternatives-considered	4	docs/adr/0010-agent-slice-design.md,docs/adr/0011-scaling-cli-scaffold.md,docs/adr/0012-watchdog-escalation-and-status.md,docs/adr/0013-ui-schema-versioning.md
consequences	4	docs/adr/0002-retention-decomposition.md,docs/adr/0010-agent-slice-design.md,docs/adr/0011-scaling-cli-scaffold.md,docs/adr/0013-ui-schema-versioning.md
examples	4	docs/agents/shared_state.md,docs/api/memory_endpoints.md,docs/chat_logging_redaction.md,docs/intent_router.md
next-steps	4	docs/agents/ledger.md,docs/operations/nightly_commit_workflow.md,docs/standards/clean_log_retention.md,docs/standards/storage_refactor_groundwork.md
scope	4	docs/standards/clean_log_retention.md,docs/standards/dashboard_instrumentation_standards.md,docs/standards/trend_aggregation_standards.md,docs/standards/trend_pipeline.md
approvals	3	docs/agents/step18_founder_summary.md,docs/agents/step18_founder_summary_template.md,docs/agents/step18_rollout_checklist.md
configuration	3	docs/agents/messaging.md,docs/voice_conversation_mode.md,docs/voice_meeting_mode.md
context-for-repo	3	docs/roadmaps/Node-RED_roadmap.md,docs/roadmaps/micro_agent_roadmap.md,docs/roadmaps/template_roadmap.md
format	3	docs/artifacts/startup_debug_dump.md,docs/coverage_ui.md,docs/health/degraded_reasons.md
future-work	3	docs/adr/0011-scaling-cli-scaffold.md,docs/standards/trend_aggregation_standards.md,docs/standards/trend_pipeline.md
glossary	3	docs/ledger_overview.md,docs/monitoring_overview.md,docs/standards/glossary.md
observability-hooks	3	docs/extending/warmers.md,docs/standards/trend_aggregation_standards.md,docs/standards/trend_pipeline.md
observability-metrics	3	docs/adr/0008-agent-config-deprecation-and-migration-policy.md,docs/agents/rag_standards.md,docs/api/model_selector_registry.md
rollback	3	docs/adr/0002-cache-key-segregation.md,docs/adr/0003-negative-caching-policy.md,docs/ops/restart_policy.md
stability-policy	3	docs/events/lifecycle_events.md,docs/metrics/lifecycle_metrics.md,docs/metrics/watchdog_metrics.md
standards-alignment	3	docs/standards/dashboard_instrumentation_standards.md,docs/standards/trend_aggregation_standards.md,docs/standards/trend_pipeline.md
1-cohort-overview	2	docs/agents/step18_pilot_report.md,docs/agents/step18_pilot_report_template.md
2-success-metrics-summary	2	docs/agents/step18_pilot_report.md,docs/agents/step18_pilot_report_template.md
3-telemetry-snapshots	2	docs/agents/step18_pilot_report.md,docs/agents/step18_pilot_report_template.md
4-standards-and-compliance-checklist	2	docs/agents/step18_pilot_report.md,docs/agents/step18_pilot_report_template.md
5-user-feedback-and-backlog	2	docs/agents/step18_pilot_report.md,docs/agents/step18_pilot_report_template.md
6-risk-and-rollback-assessment	2	docs/agents/step18_pilot_report.md,docs/agents/step18_pilot_report_template.md
7-decision-log	2	docs/agents/step18_pilot_report.md,docs/agents/step18_pilot_report_template.md
changelog	2	docs/standards/trend_aggregation_standards.md,docs/standards/trend_pipeline.md
data-shapes	2	docs/standards/trend_aggregation_standards.md,docs/standards/trend_pipeline.md
definitions	2	docs/standards/trend_aggregation_standards.md,docs/standards/trend_pipeline.md
evidence-links	2	docs/agents/step18_founder_summary.md,docs/agents/step18_founder_summary_template.md
executive-overview	2	docs/agents/step18_founder_summary.md,docs/agents/step18_founder_summary_template.md
failure-modes	2	docs/agents/agent_startup_contract.md,docs/operations/preflight_checks.md
governance-audit	2	docs/standards/trend_aggregation_standards.md,docs/standards/trend_pipeline.md
highlights-and-risks	2	docs/agents/step18_founder_summary.md,docs/agents/step18_founder_summary_template.md
key-outcomes	2	docs/agents/step18_founder_summary.md,docs/agents/step18_founder_summary_template.md
legend	2	docs/metrics/lifecycle_metrics.md,docs/operations/flag_matrix_reference.md
machine-readable-snapshot	2	docs/standards/trend_aggregation_standards.md,docs/standards/trend_pipeline.md
policy-and-procedures	2	docs/standards/trend_aggregation_standards.md,docs/standards/trend_pipeline.md
required-actions	2	docs/agents/step18_founder_summary.md,docs/agents/step18_founder_summary_template.md
risk-lowmediumhigh	2	docs/interface_testing_standards.md,docs/standards_instructions_ai.md
roadmap-phases	2	docs/roadmaps/Node-RED_roadmap.md,docs/roadmaps/template_roadmap.md
rotation-preview	2	docs/memory/mrp_events.md,docs/memory/observability.md
section-outline	2	docs/roadmaps/micro_agent_roadmap.md,docs/roadmaps/template_roadmap.md
timestamps	2	docs/agents/events.md,docs/agents/memory.md
validation-evidence	2	docs/standards/trend_aggregation_standards.md,docs/standards/trend_pipeline.md
